Username,comment
Paul Okumu,Those who joined UDA were all from same tribe who were appointed by their tribe chair into the cabinet.
Judy Kalekwa,"😂🤣🤣🤣eti we subscribe,, chieth!"
Prince Spencer,"This are some reality ill minded can't love to hear, but it's good they are getting the point, in short BABA WILL BE YOUR PRESIDENT,  anza kumzoea mapema"
Laurent Anyika,Those are corrupt government officials who want to continue stealing and misusing our taxes. They have no legacy and how do they expect us to believe they are going to serve the wananchi?
Justin Muriithi,Form Ni Azimio La Umoja. An idea who's time has come for Our Great Nation Kenya and Kenyans. #BabaTheFifth. #MandelaKibakiMoment.
Gerald Ngaruchi,"Azimio does not accommodate cash thieves But if you can steal a company like a molasses company or several gas stations, water  where you divert surface or underground water to your farm for hortictural farming,an airport and may be take it to Ruiru uikulange polepole,Rail way and direct it  to your farm,Steal custoners and their debts from a PLC company and take them to your Bank ,If you can manage to import a few Doctors and pharmacists and use them to manufacture some products then use your connections to distribute the substance around the globe,If you can steal a highway for example you go to Thika super highway and set aside one or two lanes for you and your friends,if you can grab a bus terminus and allocate it to your fleet of vehicles,if you can grab a big commercial building hata kama ni KICC...etc may be.. just may be you can be given a hearing.Hao wa kuiba pesa huko ni kama wezi wa kuku wakijaribu kuingia kwa cartel network."
Dan Ben Genga,You mean just to know the identity of this senior government and more pertaining azimio I subscribe at 150 monthly. Madness
Ezra,Sijui NTV mtaambia nini watu Baba hasipowin
Joel Mwangi,Now we know that  ntv is a partisan entry.  you report about hague now  here you are! The kenya kwanza should also luk 4 their media house
Kennedy Kithuka,"Re-electing Jubilee Kieleweke again in the name of Azimio  ""Raila the Project"" 👊😃"
Christians Erick,So you've started budgeting for the 6000/-  promised by Raila?
Ahmed Shakombo,"I don't want to have access, Facebook is a  corruption free zone 😁😁😁"
Elija Sigei,Government assignment is totally different from political position
Mark Mill,After taking our economy to ICU that expect to be elected .....poleni sana
Nick Austin's,Mention anyone relevant who is non jaluo who is in azmio la ukora
Kelvin Nyaga Njagi,"It is like all media station campaigning for Baba,but mtashangaa."
Victorhomornus Otieno,Haaaa we simply add 150 to our already complicated budget.free for yes
Master Thuo,"Azimio is not worth 150 bob,,omera NTV make it even ksh10,000"
Austine Omollo,"I can't pay, won't pay Ksh 150 to have access""...to this and more..."""
Kirwa Bomett,Mambo za paypill tena
Silip Silip,Pwahahaha! I can't follow Raila's news my friend
Elvis Salano,They were appointed and now they are going for election where people vote they are going to the people not God fathers we have seen main resign and they fail not a sure bet in deed
Benjamin Samoita,"But we also saw Udated officers resigning, Why are you becoming so biased you people!"
Benjamin Mwongela,"The same guys were in Azimio while in government, BBI crusaders,,,, nothing like gain."
Ole Ndegwa,The way you are forcefully selling the old man you gonna win an Oscar
Dennis Musheba,"Those are Azimio sycophants who have joined Azimio la kuzimia , but on the ground vitu Ni different."
Alice Atieno,Huko kwetu ni 'Asimio' Z inakata
Clinton Haza,Kaeni na news zenu.ati 150...izo ni vitunguu 1kg
Kariso Ke,"Shosh mmoja kutoka Nyeri alienda  Equity bank Center in upperhill kama amebeba gunia imejaa pesa.  Alipofika kwa receptionist alimwambia anataka kuongea na the bank's manager.  Kwa matharau yule receptionist alimwambia ""huwezitoka mahali umetoka ukuje hapa kuorder kuonana na manager without an appointment. manager ako very busy na huwezi kumwuona bila appointment"" ""Lakini niko na pesa mingi sana hapa kwa hii gunia na siwezi deposit kama sijamuona manager"" yule shosh alijibu. So after confirming that the gunia alikuwa imebeba pesa, reception alimwambia angoje kidogo na aliporudi akamwelekeza shosh kwa ofisi ya manager. Alipoingia kwa ofisi ya manager kama amebeba zile pesa, manager alimkaribisha na kumuuliza angeweza kumsaidia vipi. Shosh akamwambia kuwa anataka kufungua a savings account ambayo angedeposit 180 million aliyokuwa amebeba kwa lile gunia lake.  manager alishtuka kusikia kuwa lile gunia lililokuwa juu ya meza yake lilikuwa na pesa mingi hivo na kumuuliza alipotoa hizo pesa zote.  Shosh alimjibu na kumwambia kuwa yeye hufanya betting na kushinda kila wakati ndio maana alikuwa na pesa nyingi hivo.  Kwa mshangao tena, manager alimuuliza ""kwani ni bets aina gani wewe hufanya?"" Shosh akamjibu ""Kwa mfano, nawezabet shilingi 25,000,0000 kuwa hauna sehemu zako za siri na nishinde"" What! sasa unataka tubet kuwa sina sehemu zangu za siri na nnajua vizuri niko nazo. Si utapoteza your 25,000,000!"" manager alijibu kwa mshangao To proof it, shosh akamwambia manager kuwa wakutane the following day kwa ile ofisi yake saa nne ya asubuhi kila mtu akiwa na 25,000,000. Shosh pia aliongezakuwa atakuja na lawyer wake sababu kiwango cha pesa walikuwa wanabet nikikubwa sana na nivizuri kuinvolve a lawyer. Manager akakubali na wakakubaliana kupatana the following day.  Usiku huo, manager alishinda na wasiwasi sana akijiuliza kwanini yule shosh alimwambia kuwa hana sehemu za siri na kumake it worse ako ready to bet a lot of money to that effect yet yeye ako sure sehemu zake za siri zilikuweko. Manager akajiangalia kuconfirm kuwa sehemu zake za siri ziko kisha akatoa 25,000,000 from his safe na kuweka kwa briefcase ready for work the following day.  Shosh na lawyer wake wakafika kwa ofisi ya manager at exactly saa nne asubuhi.  Akaambia manager atoe trouser waconfirm kama alikuwa na sehemu zake za siri. So sure of it, and knowing pesa ilikuwa involved, manager akateremsha trouser na shosh akaanza kushikashika sehemu zake za siri kuhakikisha kuwa zipo.  Lawyer alipoona kilichokuwa kikiendelea, aligonga ukuta kwa mshangao na hasira kisha akaketi kama mtu ameshikwa na stress at once. Manager alishtuka kuona reaction ya lawyer na kuuliza shosh ""Kwani lawyer wako anashida gani?"" Shosh akajibu ""Lawyer wangu hana shida yeyote ila tulibet nayeye for 100,000,0000 shilings kwamba leo saa nne nitakuwa nimeshika sehemu zako za kwa mikono yangu😂"" Please follow Funny"
Lomet Yuno,Let the odinga led Azimio subscribe🚮😒😒
