User,Reply,Likes,Retweets
atienooloo1,@StandardKenya 🤣🤣🤣🤣🤣🤣,0,0
ngarijoseph802,@StandardKenya The 5th we have been loking for ata morale ya kuvote imekam,0,0
Governorjaymo,@StandardKenya Perfect the president we need tuvute bangi mpaka tuende Mathari !,0,0
MNyabende,@StandardKenya Is presidential candidature this extreme of a joke....someone will just pop up and say...''i will ha… https://t.co/Q4yYMckyZd,0,0
yours_sincereIy,@StandardKenya Finally we got someone who's serious,0,0
KiumbeSammy,@StandardKenya Look  for another country not kenya,0,0
binraccooon,@StandardKenya https://t.co/9AqYnLtCEs,0,0
arap_chesulut,@StandardKenya Bhangi ni mbaya......,0,0
GoodContentHere,@StandardKenya @sain4847 Following the lead of Libya perhaps?  https://t.co/1fW16Ugb1t,1,0
JosephKimanga3,@StandardKenya Bhang working in your head my friend....we are going for a 24hr economy!!!!,0,0
GeneralHassanN1,@StandardKenya Kura yangu ni yako Prof,0,0
kingoofw,@StandardKenya He probably needs to be taken to hospital,0,0
ChiuriJoseph,@StandardKenya Bangi si dawa,0,0
Yekon6,@StandardKenya Clear all crb listed,0,0
ombuimecha,@StandardKenya Hapo sawa,0,0
fluganje,@StandardKenya Why work days Mon to Thursday?,0,0
Makaobora,"@StandardKenya @KennethMuriuk10 Do you want to create a state of anarchy?

https://t.co/l8WNOqyG40",0,0
NyaangaBoniface,@StandardKenya What is the need of going to school anyway...if this is how a prof thinks!!;,0,0
fanmuga,@StandardKenya The head of Professors are full of bubbling unrealistic insects trying to fly to the moon,0,0
fanmuga,@StandardKenya Don't try all those in Kenya...Parental guidance,0,0
OnongKonong,@StandardKenya The fifth,0,0
iamjosehk,@StandardKenya The one,0,0
OAnyula,@StandardKenya Sily mentality,0,0
okumu_phanuel,@StandardKenya And he is a Professor. Kusoma haribu akili.,0,0
ABUNGWENO,@StandardKenya Already hata bhang imemukumywa,0,0
Lukeli11,@StandardKenya Hii apana,0,0
vorudo44,@StandardKenya I salute you,0,0
ongare_winnie,@StandardKenya Interesting.....🤗,0,0
MrGachuiri_JG,"@StandardKenya For some reason, I can't remember my dreams as clearly after waking up. Amazing people like him recap it really well.",0,0
SimonN72711030,"@StandardKenya I would rather vote for this burger,than voting for any of the two.",0,0
LenordSang,@StandardKenya Now I am confused whether to still vote in Ruto or go for this guy. I like his odds.,0,0
tyke3,@StandardKenya The prof has effectively raised the stakes! At least good reasons to vote https://t.co/YU6Iq4OWr9,1,0
ngangaalex2,@StandardKenya We need serious alternatives and not jokes.,0,0
