Username,comment
Lutta Hillary,Making a mountain out of a mole hill. Tell the Congolese that in Kenya 'cow' is a metaphor meaning 'foolish'. Ruto therefore meant DRC has a shortage of fools. He however should watch his tongue next time.
Chrixtopher Kaloki,"He finally came to his senses so late. He should have done it before sending emisaries to go calm the waters with congolese delegatión. Anyway, Its a good start hopefully he grasped something from his remarks."
Achieng J. Ouko,The DPs lies went international and Congolese never took it lightly. Good that they're making amends.
Timothy Masinde,Incoming foreign affairs Cs  in KK government at it already.
J.M. Karuga,Damage control is good diplomacy.
Shemjuma Wanjala,Even with local politics he still has loose and foul mouth as leader he need to change
Enock Chana,Why send a delegation when damage has already been done?!...
Dolbert Moyuki,Watch your mouths we don't want to spoil rerationship with our neighbouring countries
Martin Gitonga,Congratulations our International relations officer for the sober approach to what our competitors wanted to us to pin down kenya kwanza
Pitah Mugambi,Mr fix it.... DRC demands Raila to apologise to both The incoming President of republic of Kenya and to the nation of DRC for taking WSR 's  light words out of context ....
Kossogo Maldini,"Africa's chief mediator died long ago years after ensuring that peace and coexistence had been restored in this beautiful country which was being torn apart by the loose talk,foul language,abusive speech polluted and filled with hate and rotten words!.In whose he hands are we safe now that we have started to witness diplomatic mediations which he have started 6 months down the line?. This country should just be disbanded and everybody should go home!!"
Caltex Davis Rono,DP Ruto was just testing if that international  Relations team can work.. Waiting for media update
Victor Calvin Kitoko,After abusive and intolerance words. What exactly are you convincing an innocent woman to understand instead of facing the higher office in Kinshasa Congo 🇨🇩
Dennis B Orina,After this meeting ensure you plan a bigger one in Kinshasa. Take WSR with you. While there ask him to kneel down and withdrawal his statement properly. Let him promise to never again belittle the richest country in Africa (of course in terms of natural resources)
Cindy's Den Lupper,So the whole team went to apologize ..uda mko na pesa and who catered the flight and hotels..ruto is rich in deed
