User,Reply,Likes,Retweets
k_njokerio,@kipmurkomen Tumko Imara ndani ya Azimio. Raila the 5th #inawezekana,0,0
johnoku38852427,"@kipmurkomen I just look at the hate in you and I see death ,nowonder God cannot bless Elgeyo Marakwet because of you.Arrow son",0,0
mokeira_becky,"@kipmurkomen Hypocrisy!!
If president Uhuru was supporting Ruto could you say the same???
Why do politicians forget… https://t.co/Tip5YoVe1q",0,0
mcowinodave,@kipmurkomen Amka sasa ukojoe mheshimiwa😂😂,0,0
LeonSakwa,@kipmurkomen They way people think ODM is a luo party perplex me a lot....they should visit western n coast!!,0,0
Raila_Tv,@kipmurkomen Raila can be installed with names to  dim his vision but reality be told that always the president can… https://t.co/CCgmfmgRnT,0,0
Findtonny,@kipmurkomen If Uhuru supported Ruto would Ruto be a project? Why are you guys reacting from a mere political promise? Move on nanii,0,0
PaulChek78,@kipmurkomen Do you mean the President retires only when he leaves office to his Deputy? What a dearth of objectivi… https://t.co/RC9k5rUI8j,0,0
ogutuerickochi1,@kipmurkomen So how does this help?,0,0
gerald_samaryk,"@kipmurkomen 😄😄😄 lakini, si mlisema mnashinda hii kura?",0,0
Siasa_2022,@kipmurkomen its in  African tradition to pass the baton to the most suited and trusted son OR  daughter to extend… https://t.co/c3opMrm2X0,0,0
ojiambodouglas1,@kipmurkomen Truly said Hon.,0,0
HNyangoya,@kipmurkomen Raila is not stupid,0,0
DouglasKaringu4,@kipmurkomen Well said mkuu,0,0
piusk1,@kipmurkomen How low do you rate UDA followers to expect them to swallow such cheap propaganda? So Ruto would run t… https://t.co/sPQnYYDO6P,0,0
Aantonycatafire,"@kipmurkomen UDA presidential candidate,makasiriko reloaded https://t.co/FQ0jnPbezh",0,0
YaSengera,@kipmurkomen This is just talking kheshimiwa let's Go to the end,0,0
japuonj_nyathi,@kipmurkomen I think you are misinformed,0,0
katoto_kamwana,@kipmurkomen Endeleeni kuliaaaaaaa😁😁😁😁,0,0
namatsikamala,@kipmurkomen Can you tell us which outgoing President supported a Deputy who had outrightly opposed him?,0,0
f_vuhula,@kipmurkomen For example if he supported Ruto how will you have termed it.,0,0
PaulAuko4,"@kipmurkomen And UDA will be with Kalenjins only,are you aware Mohammed Ali,Aisha Jumwa and Mwashetani are not at ease there in Coast",0,0
fredony43751922,"@kipmurkomen We feel your desperation, your pain! May it increase tenfold because we're not playing politics according to your textbook",0,0
Duncan_amiani,@kipmurkomen And when did we start advocatung for ODM??,0,0
namatsikamala,"@kipmurkomen When Ruto was minister for Agriculture, we had issues with fatilizer and maize, as DP - KPL concrete p… https://t.co/Gwu7Yua0Ax",0,0
prime_ray5,@kipmurkomen Hakuna mahali number one anaenda ? It is all a futile effort that will bring him shame and an end to t… https://t.co/M8s46MBpih,0,0
idrimu247,@kipmurkomen You can tell this only to fools. What makes you think Baba as a sitting president can be anyone's pupp… https://t.co/sumaqzD8QU,0,0
johnsongatitu,@kipmurkomen Meza dawa ya presha pole pole brathe,0,0
BodoCalvince,@kipmurkomen Inakuumia nini,0,0
Giorgio94595481,@kipmurkomen Whats your problem. Concentrate on uda matter hii pilipili isikuashe boss. Had he supported ruto would… https://t.co/thdQ2waja7,0,0
sosmuruli,"@kipmurkomen Why are you very much obsessed with what your ex is doing. He moved on a long time ago. Bro, save your… https://t.co/PNjn75gcoO",0,0
saida_daniel,@kipmurkomen https://t.co/FNqW8d1PX2,0,0
ndeta_stallon,"@kipmurkomen Focus on your bedroom, whatever happens in your neighbor's bedroom how's it your concern?",0,0
Oyugi12Daniel,@kipmurkomen How do you expect him to endorse his Deputy who been a NO SHOW in discharging his duties at Harambee H… https://t.co/1DBmcmGIVz,0,0
AkiraguM,@kipmurkomen The last time I checked you said hampangwingwi!what's the panic about?you said you have the numbers.,0,0
Harryagufa1,@kipmurkomen Your stupidity is to ignore how Raila has been ruthless and you think he can be a puppet. How many hav… https://t.co/rOfJSSrW7f,0,0
ronokesendany1,@kipmurkomen Shallow thinking,0,0
digolo_francis,@kipmurkomen What if he would have supported Ruto the way you people expected ..?,0,0
OmangaOmega,@kipmurkomen Unaumia kindaaani,0,0
JoshuaMkobia,"@kipmurkomen When raila becomes president, all the adjectives and nouns you call him shall be regarded hate speech… https://t.co/bKmQ13nLBp",0,0
OgwokaO,@kipmurkomen All anc MPs except one whose heart was always in uda left Musalia Mudavadi for Raila Odinga. All Turka… https://t.co/5WayfFWo1P,1,0
Man_Utd_Lad,"@kipmurkomen Dont worry here man, just campaign and move on",0,0
lazarusmkimeu,@kipmurkomen So what is your problem?  You are neither in Jubilee nor in Odm.,0,0
pioneerWRS,@kipmurkomen Soo tujinyonge ama you think UDA are perfect people,0,0
Stephen96971499,@kipmurkomen I suspected something like that.Uhuru wants to complete his tearm smoothly,0,0
Rayogola,@kipmurkomen So what?,0,0
goonerobra,@kipmurkomen How many times have you tried to send the 'puppet' to Bondo? How many parties have you hovered in sinc… https://t.co/WCoMWYCvNb,0,0
OsalaKen,@kipmurkomen You are in the government together with your oligarch boss,0,0
dalikimoko,@kipmurkomen Your Leader @WilliamsRuto made a very HUGE miscalculation! He sabotaged @JubileePartyK from within in… https://t.co/jPVS461hhi,0,0
KonkiLily,@kipmurkomen Mulisema Jubilee died 🤣🤣I can now approve the fact that once you uphold and support Ruto your mind bec… https://t.co/dmK0JEEAHu,0,0
AlfredSimiyuJu2,"@kipmurkomen What is wrong about it ? Fordkenya has 3 mps , ANC has only one mp and you count them as your partner… https://t.co/05w5n6nDs7",1,0
EliudKimeli9,@kipmurkomen Raila unbwogable#5TH,0,0
GWafukho,@kipmurkomen Also address corruption mheshimiwa.,0,0
Tedd_snr,"@kipmurkomen Uhuru is still young, and has done alot in these country.. And mark you sitting on that high seat come… https://t.co/S0e4zWG10R",0,0
Emmanuelwatiti7,"@kipmurkomen Is Ruto not extending his hand in government? Nonsense ,if to go home they must sail together,if havin… https://t.co/8doxvOpdKk",0,0
Pk_cardinal,@kipmurkomen Mdomo buggy,0,0
DudiTrilla,"@kipmurkomen You people are sore losers, and will be very bitter opposition,naona reality is sinking in",0,0
mpigakurakenya,@kipmurkomen Shughulika na ya kwako. Azimio hatupangwingwi.,0,0
ayiijoe,"@kipmurkomen Who doesn’t know consistence , rebellious and enigmatic character of one Raila Odinga in Kenya? He wil… https://t.co/onKDoto2BB",0,0
MajorKorir,@kipmurkomen When the President said he wanted a portion of it on the Azimio thing that was a fact that Jubilee nee… https://t.co/mQUcUuqprN,0,0
JuliusWachakan2,"@kipmurkomen Talk of kalenjin party UDA,don't fool us we know you wanted the president to surport your puppet Ruto… https://t.co/X3L05uDZfX",0,0
NgesaPhilip,"@kipmurkomen It's better to have a puppet as a president than having a thief, a murderer, and a land grabber.",0,0
ErickOd17760395,@kipmurkomen That's your problem go and solve it with the incubent,0,0
PopMartin11,@kipmurkomen Very true,0,0
xtkeyceedekegg1,@kipmurkomen Even Kibaki had to consult Moi after taking office. Wacha kidomo-domo chako. If you're sure U-D-A is w… https://t.co/KtXhOKj2g2,0,0
jasigoti,"@kipmurkomen Hehe Murkomen, hii sio uchawi ni maombi, accept n move on, dunia imeenda bana, mkate miti, we need Daktari alive beyond 2032.",0,0
MatokeV,"@kipmurkomen Hon Murkomen,you've lost focus.If you direct that energy on UDA then I'm sure you'll have more seats i… https://t.co/Vx4Pwu72mk",0,0
Samnchezs,@kipmurkomen Imekuuma sana,0,0
baraza_bwire2,@kipmurkomen Mambo ya ODM tuachie sisi wewe leisuda aliona ufala yako,0,0
jasper_klevins,"@kipmurkomen Focus on rift farmers, create more employment opportunities in your counties.
Azimio shouldn't be your… https://t.co/gTIrz5UoYi",0,0
jared_biasi,"@kipmurkomen Why a you calling raila a puppet,,, respect is good than even money",0,0
vilivu,"@kipmurkomen Now when you've realised your narrative of kuchezwa has expired ,you concoct other scenarios which wil… https://t.co/E2D23gXmyS",0,0
mobmoja,@kipmurkomen What could go wrong with this plan? 🤔,0,0
KatoziKazungu,@kipmurkomen That’s your dream sir,0,0
WMakhanu,@kipmurkomen You guys are sure the presidency is yours for the taking. Why are worried about Uhuru's antics?,0,0
mwamburi11,@kipmurkomen Kenyans know raila can never be anybody's puppet and this is one lie that will not sell,0,0
nguthujames,@kipmurkomen Bado inakuwasha...tulia upangwe.,0,0
reagah,"@kipmurkomen When I was a child, I spake as a child, I understood as a child, I thought as a child",0,0
1983fe607558486,@kipmurkomen Mr senator you ain't seen anything yet.After Uhuru kukohoa your brigade is now running helter skelter like a headless chicken.,0,0
HenryIshza,"@kipmurkomen I heard UDA saying jubilee is a shell so what is your problem,",0,0
NickWamjiru,@kipmurkomen Raila can never be a project only by people not by a mere person,0,0
La_Makavelli,@kipmurkomen Mbwa hii si uko na mahasira? Unafikiria ku control government ni rahisi kama ku control bibi yako? Bweka huko mkebe wewe!!!,0,0
Frambui1,@kipmurkomen As you type remember you've us young people who look up to you sir! We expect your message to reflect… https://t.co/ZRYQDpiptZ,0,0
kinyua_franc,"@kipmurkomen When you were viciously fighting for the lipa deni ya ""yangu kumi, yako kumi""...Uhuru was not in reali… https://t.co/BCgXpZRW7p",10,0
Kipkemeikelvin1,@kipmurkomen Specialist you are all time accurate bravo,0,0
MunyiriOle,@kipmurkomen I would rather Uhuru extend his term than the possibility of a looting ang tribalistic cabal that is U… https://t.co/pgltehqprB,0,0
Hotisticjoe254,@kipmurkomen iko shida gani apo,0,0
boagengo,@kipmurkomen “You saw what happened during BBI. After Ruto and his team spent months campaigning against the propos… https://t.co/8yktc6Xzl5,0,0
Dominicokothou1,@kipmurkomen Is that  te bottom up economy? Can you mind and settle on what you want  for Kenyans...,0,0
PereWanjiru,@kipmurkomen This narrative is the one that will make people vote for Azimio. People love Uhuru and if told he can… https://t.co/e9rijHNpYu,0,0
RoseAki50080278,@kipmurkomen So if he was to support Ruto you would have called Ruto his puppet?? Haki Kenyans!,0,0
kuriambogo,"@kipmurkomen Mmmmh, according to your sentiments we can also put it this way, UHURU was Ruto's puppet in 2013 and 2… https://t.co/4MhEc1II0w",0,0
dkens2708,"@kipmurkomen Why do you care, learn on how to mind your own business Mr. Chatty Chatty Mouth",0,0
mfuatiliyaji,@kipmurkomen Raila Amolo Odinga- THE most seasoned politician south of the sahara and north of the limpopo would ne… https://t.co/fREs7vBxAH,0,0
GeorgeO84432012,@kipmurkomen Baba state house direct wheathe you ndekni or kithni surebet,0,0
josiah_abiud,"@kipmurkomen Now, go to the nearest mirror and READ that ALLOUD. How does it sound. Not CONVINCING, no? It is HARD… https://t.co/lbsmNYtwgB",0,0
Danny_Tweetts,@kipmurkomen The most important thing is a peaceful transition of power and Kenyans living normal lives post polls.… https://t.co/tu0NBLgCKn,0,0
GreaterFuture1,@kipmurkomen Having guys like you in the govt  is a blessing  to be honest.,0,0
Mzeewasiku,"@kipmurkomen Jaribu kuona mambo vizuri hivi nyanza pekee ina wabunge wangapi ,coast vipi lakini western ina vingapi… https://t.co/H0iPxSzi2b",0,0
KatanaHon,@kipmurkomen Shida yako ni .....? Waporaji United,0,0
gashkiatu,@kipmurkomen Pole Sana Raila can never be a puppet of anyone he is the one using Uhuru to ascend to power. Pole bro,0,0
Ishmourda254,@kipmurkomen My Fren Just Shush and wait. You are in no capacity to talk ill about our Dear President.,0,0
Amutuma4,@kipmurkomen I would always hate myself  to be you or anything near your 😆😆😆😆😆,0,0
BOnyanngo,@kipmurkomen Wacha kupiga kifua,0,0
BOnyanngo,@kipmurkomen Continue consoling yourself mwesh,0,0
rickey_Hb,@kipmurkomen Shughulika na chama yako..sisi Bora Baba ni Rai's😝,1,0
amadikena,@kipmurkomen Wewe na uyo ruto nawaombea mshinde sana we need to see your incompetence first hand,0,0
039_mississippi,@kipmurkomen We love our puppet the fifth Raila Odinga we have the watch UDA cartoons,0,0
NdegeJames,@kipmurkomen Tunajua...na bado tuko azimio...peoples project against a bunch of corrupt,0,0
africainsiderEN,"@kipmurkomen and what is Ruto doing? Is he not extending his reign from 2013 onwards. 
Ruto has been the 2nd most p… https://t.co/rbLz0cXp0i",0,0
MarkRadiance,"@kipmurkomen Ok, ongea sasa bila kulia",0,0
ThomasOmbasa,@kipmurkomen Flying on the floor of a jammed helicopter while kneeling down can be very traumatizing. One may develop mental seizures.,0,0
WaNduta8,@kipmurkomen Very difficult for a fellow who cannot appreciate Issue Based politics to understand Handshake; Or the… https://t.co/uzaAJK2nKm,0,0
malovah_fred,@kipmurkomen An alarmist for hire,0,0
SOnyapidi,@kipmurkomen Mhe. Respect Baba.... His ambitions to become the Kenya's president were alive before your father's sa… https://t.co/O33ZJXHUTy,0,0
BENFRED,@kipmurkomen Point correction Sir  you're the one who put him in power let him rule forever.,0,0
MannonYng,@kipmurkomen https://t.co/EAlicSiT3o,0,0
VansOti,@kipmurkomen Mtalijua Jiji......Just start practicing your role as the Official opposition early.,0,0
AnnitahMajuma,@kipmurkomen But muheshimiwa mbona uko na roho chafu hivyo,0,0
RaphaelMusila3,@kipmurkomen Zidi tu nakuropokwa,0,0
VAkwalu,@kipmurkomen Uhuru is driven by interests of self preservation and safeguarding family wealth.Raila and the self sw… https://t.co/v6sWKWvroY,0,0
Sarichjoseph2,@kipmurkomen Wewe endelea kulia nyinyi na wheelbarrow yenu mtakwenda nyumbani vizuri sana🙊🙊🙊🙊🙊🙊,0,0
DenisOgucha,@kipmurkomen Tinga the 5th.,0,0
dirieomar,"@kipmurkomen yes,And thts exactly what majority of kenyans want .",0,0
AmukhoyeJames,@kipmurkomen Ndoto ya mchana,0,0
MercyJanakiDasi,@kipmurkomen https://t.co/5XsXXtP7m3,0,0
obuyafestus254,"@kipmurkomen You have always told us you won, there's never been rigging,  what has changed now, sell your fake age… https://t.co/1svBnxA4vx",0,0
MsambwaYa,@kipmurkomen But if Ruto wins it won't be an extension of Jubilee?,0,0
wazecky,@kipmurkomen Your faction  once said that Uhuru was weakening Raila for Ruto to to ascend to power with ease. Your… https://t.co/2657YNBM2T,0,0
AlosaAngote,"@kipmurkomen Bile won't assist you Mheshimiwa 
Raila is the 5th 
Jakom  IGWEEEE 
Begin adjusting",0,0
Charles_Warria,@kipmurkomen Wacha cheap porojo and focus on UDA,0,0
JoNyawade,@kipmurkomen Hypocrites will blame everything and Uhuru except themselves. Either they 2ere part of Uhuru's governm… https://t.co/DGD0uIDfzb,0,0
Martin_Ngui,@kipmurkomen Sema prokopanda kugonga ukuta brathe,0,0
esirpaulo,"@kipmurkomen Kimeumana,🤣🤣🤣🤣, Azimuo tibim",0,0
Martin_Ngui,@kipmurkomen Raila's is being weakened by the state. And UDA may end up being a minority opposition party . 😂😂😂,0,0
GrandDuke_001,@kipmurkomen It's normal especially when one thinks with his teeth. Waol gi uwii!,0,0
tnyagare,@kipmurkomen I agree with you. Kuna watu wayalia sana.,0,0
capt_Easy,@kipmurkomen 😂😂,0,0
HurryHarizona,"@kipmurkomen How is that your business, concentrate Kwa UDA and win election if you can, stop panicking ama umeona… https://t.co/8R5uU0yFRU",0,0
GeorgeBoddo,@kipmurkomen Is this the same Uhuru you said has no say in Mt Kenya or something is wrong with this tweet? He is ye… https://t.co/N2EyAxI4NI,3,0
X5ba0iO9bQseKiv,@kipmurkomen We have no problem with that.,0,0
Alketi10,"@kipmurkomen Now the tune is from project to puppet. All this is because of fear. #EACC should check this voice, a… https://t.co/aVfWTdNdmU",0,0
davemutegi,@kipmurkomen If Uhuru is supporting Ruto would you be screaming the way you are screaming now? What is good for the… https://t.co/Da9lXCl65M,1,0
Cornobino,"@kipmurkomen UDA is on the chopping board, the Bottoms up truth is being put to TEST. Kenyans are waking up to the… https://t.co/3CfX1nH0w9",0,0
ChachaIsmwita,@kipmurkomen Kenya has had four presidents who were no one's puppet but we still struggled. Let's try this 'puppet' now,1,0
Moe_Hasan1,@kipmurkomen Pambana na hali yako,0,0
Evansgray1,@kipmurkomen Just shut tf up😅😅,0,0
